                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1539,                 2.8974,                 1.6264,                0.00505,                      1,                0.48717,                0.25368,                0.62498,                 3.1256,                 1.1908,             0.00011669,             0.00011669,             0.00011669
                      2,                0.90804,                 2.7826,                 1.3003,                0.00487,                      1,                0.56697,                0.32006,                0.61497,                 3.1177,                 1.1845,             0.00023767,             0.00023767,             0.00023767
                      3,                0.80225,                 2.7259,                 1.3102,                0.00473,                      1,                0.65861,                0.41845,                0.61241,                 3.1174,                 1.2209,             0.00034545,             0.00034545,             0.00034545
                      4,                0.91964,                 2.3974,                 1.2858,                0.00458,                      1,                0.66577,                0.47232,                0.65176,                 3.0804,                 1.2162,             0.00044003,             0.00044003,             0.00044003
                      5,                 1.0136,                 2.6879,                 1.4677,                0.00448,                      1,                0.61824,                0.50506,                0.68304,                 2.8936,                 1.1868,              0.0005214,              0.0005214,              0.0005214
                      6,                0.84009,                 2.3384,                 1.2889,                0.00448,                      1,                0.61824,                0.50506,                0.68304,                 2.8936,                 1.1868,             0.00058958,             0.00058958,             0.00058958
                      7,                 1.1922,                 2.4667,                 1.4966,                0.81578,                0.45833,                0.53726,                0.40202,                0.88191,                 2.5152,                  1.342,             0.00064455,             0.00064455,             0.00064455
                      8,                  1.023,                 2.3603,                 1.4757,                0.81578,                0.45833,                0.53726,                0.40202,                0.88191,                 2.5152,                  1.342,             0.00068631,             0.00068631,             0.00068631
                      9,                 1.0886,                 2.2481,                 1.4512,                0.81578,                0.45833,                0.53726,                0.40202,                0.88191,                 2.5152,                  1.342,             0.00071488,             0.00071488,             0.00071488
                     10,                0.89656,                  2.092,                 1.2897,                  0.357,                 0.6875,                0.51798,                0.38038,                0.98378,                 2.3862,                 1.4492,             0.00073024,             0.00073024,             0.00073024
                     11,                0.88554,                 2.5528,                 1.4328,                  0.357,                 0.6875,                0.51798,                0.38038,                0.98378,                 2.3862,                 1.4492,              0.0007324,              0.0007324,              0.0007324
                     12,                 1.1158,                 3.0017,                 1.5248,                  0.357,                 0.6875,                0.51798,                0.38038,                0.98378,                 2.3862,                 1.4492,             0.00072135,             0.00072135,             0.00072135
                     13,                 1.0226,                 2.8921,                 1.4277,                  0.357,                 0.6875,                0.51798,                0.38038,                0.98378,                 2.3862,                 1.4492,              0.0006768,              0.0006768,              0.0006768
                     14,                 0.9446,                 3.0071,                 1.5005,                0.33559,                0.73156,                0.48593,                0.34922,                 1.1489,                 3.8872,                  1.851,              0.0006768,              0.0006768,              0.0006768
                     15,                  1.053,                 2.8247,                 1.6227,                0.33559,                0.73156,                0.48593,                0.34922,                 1.1489,                 3.8872,                  1.851,             0.00059429,             0.00059429,             0.00059429
                     16,                 1.2661,                 3.0875,                 1.7292,                0.33559,                0.73156,                0.48593,                0.34922,                 1.1489,                 3.8872,                  1.851,             0.00051177,             0.00051177,             0.00051177
                     17,                 1.0459,                 2.8837,                 1.4927,                0.33559,                0.73156,                0.48593,                0.34922,                 1.1489,                 3.8872,                  1.851,             0.00042925,             0.00042925,             0.00042925
                     18,                 1.1051,                 3.1413,                 1.6863,                0.51714,                 0.6424,                0.54317,                0.39381,                 1.0048,                 3.8218,                 1.5567,             0.00034674,             0.00034674,             0.00034674
                     19,                0.96048,                 2.7191,                 1.4585,                0.51714,                 0.6424,                0.54317,                0.39381,                 1.0048,                 3.8218,                 1.5567,             0.00026422,             0.00026422,             0.00026422
                     20,                 1.0155,                 2.9179,                 1.4327,                0.51714,                 0.6424,                0.54317,                0.39381,                 1.0048,                 3.8218,                 1.5567,              0.0001817,              0.0001817,              0.0001817
