                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1223,                 3.0433,                 1.2263,                0.79793,                0.16245,                0.19019,                0.15016,                0.96732,                 2.5509,                  1.079,             3.8291e-05,             3.8291e-05,             3.8291e-05
                      2,                 1.1106,                 2.8247,                 1.2248,                0.86773,                 0.1452,                0.20374,                 0.1574,                0.96431,                 2.5756,                 1.0731,             7.5434e-05,             7.5434e-05,             7.5434e-05
                      3,                 1.1422,                 2.8479,                 1.2138,                0.76648,                0.17847,                0.21774,                0.16951,                0.96263,                 2.6799,                 1.0702,             0.00011105,             0.00011105,             0.00011105
                      4,                 1.1246,                 2.7795,                 1.2224,                0.63972,                 0.2308,                0.22172,                0.17038,                0.96998,                 2.5932,                 1.0795,             0.00010911,             0.00010911,             0.00010911
                      5,                 1.1504,                 2.7696,                 1.2035,                0.64119,                0.23797,                0.22856,                0.17579,                0.97426,                 2.7942,                   1.08,             0.00010681,             0.00010681,             0.00010681
                      6,                 1.1271,                 2.7849,                 1.2119,                0.70796,                0.19636,                 0.2292,                0.17425,                0.97892,                 2.8787,                 1.0795,             0.00010452,             0.00010452,             0.00010452
                      7,                  1.089,                 2.6285,                 1.1997,                0.74762,                 0.1892,                0.22502,                0.16907,                0.97457,                 3.0134,                 1.0799,             0.00010222,             0.00010222,             0.00010222
                      8,                 1.1665,                 2.7723,                 1.2246,                0.73555,                0.18719,                0.22131,                0.16227,                0.96891,                 3.0404,                 1.0734,             9.9922e-05,             9.9922e-05,             9.9922e-05
                      9,                 1.0915,                 2.5391,                  1.193,                0.71094,                0.20586,                0.23136,                0.17639,                0.96074,                 2.9171,                 1.0711,             9.7626e-05,             9.7626e-05,             9.7626e-05
                     10,                 1.1048,                 2.6256,                 1.2029,                0.70094,                 0.2064,                0.23219,                0.17613,                0.96371,                 2.7233,                 1.0739,             9.5329e-05,             9.5329e-05,             9.5329e-05
                     11,                 1.1042,                 2.5791,                 1.2116,                0.63791,                0.23466,                0.24272,                0.18636,                0.95451,                 2.9741,                  1.069,             9.3032e-05,             9.3032e-05,             9.3032e-05
                     12,                  1.113,                 2.6236,                 1.1854,                0.63996,                0.24367,                0.25155,                0.19375,                0.95508,                 3.1695,                 1.0714,             9.0735e-05,             9.0735e-05,             9.0735e-05
                     13,                 1.0883,                 2.6408,                  1.192,                0.72263,                0.22534,                0.25268,                0.19556,                0.95276,                 3.1418,                 1.0689,             8.8438e-05,             8.8438e-05,             8.8438e-05
                     14,                 1.0819,                 2.5624,                 1.1834,                0.64124,                0.26347,                 0.2611,                0.20196,                0.94448,                 3.0657,                 1.0669,             8.6142e-05,             8.6142e-05,             8.6142e-05
                     15,                 1.0858,                 2.5118,                 1.1953,                0.73311,                0.23499,                0.27328,                0.20794,                0.93709,                 3.1774,                 1.0651,             8.3845e-05,             8.3845e-05,             8.3845e-05
                     16,                 1.0814,                  2.465,                 1.1963,                0.70941,                0.23514,                 0.2563,                0.19974,                0.93688,                 3.4145,                 1.0652,             8.1548e-05,             8.1548e-05,             8.1548e-05
                     17,                 1.1097,                 2.6417,                 1.2101,                0.60559,                0.27711,                0.27008,                0.20886,                0.93361,                 3.5041,                  1.063,             7.9251e-05,             7.9251e-05,             7.9251e-05
                     18,                 1.0813,                 2.3088,                 1.1901,                0.63946,                0.27318,                0.28016,                0.21713,                0.93179,                 3.3253,                 1.0621,             7.6954e-05,             7.6954e-05,             7.6954e-05
                     19,                 1.0873,                 2.6001,                 1.2054,                0.66341,                 0.2742,                0.28987,                0.22366,                0.92861,                 3.1167,                 1.0618,             7.4658e-05,             7.4658e-05,             7.4658e-05
                     20,                 1.0808,                 2.3796,                 1.1799,                0.69583,                0.26447,                0.28701,                0.22343,                0.91949,                 3.2651,                  1.057,             7.2361e-05,             7.2361e-05,             7.2361e-05
                     21,                 1.0616,                 2.4217,                 1.2026,                0.63597,                0.28982,                0.29427,                0.22671,                0.92426,                 2.9857,                 1.0616,             7.0064e-05,             7.0064e-05,             7.0064e-05
                     22,                 1.1201,                 2.5056,                  1.217,                0.68103,                0.27647,                0.29411,                0.22725,                0.91948,                 3.1768,                 1.0626,             6.7767e-05,             6.7767e-05,             6.7767e-05
                     23,                 1.0822,                 2.4571,                 1.1981,                0.69178,                0.27483,                 0.3019,                0.23104,                0.92047,                 3.0776,                 1.0596,              6.547e-05,              6.547e-05,              6.547e-05
                     24,                 1.0423,                  2.316,                 1.1796,                0.71475,                0.27273,                0.30888,                0.23704,                0.92006,                 2.9695,                 1.0609,             6.3174e-05,             6.3174e-05,             6.3174e-05
                     25,                 1.0738,                 2.3694,                 1.1615,                0.69552,                0.27524,                0.31083,                  0.243,                0.90775,                 2.9542,                 1.0579,             6.0877e-05,             6.0877e-05,             6.0877e-05
                     26,                  1.082,                 2.3105,                 1.1837,                0.64806,                0.28566,                0.31527,                0.24452,                0.90557,                 2.9596,                 1.0522,              5.858e-05,              5.858e-05,              5.858e-05
